seed,config,mean_inner_h10
6,C3F_K=5_α=0.5,0.573810930422976
6,C3F_K=5_α=0.7,0.5618295451012095
6,C3F_K=7_α=0.1,0.6228247463283687
6,C3F_K=7_α=0.2,0.6028315869116839
6,C3F_K=7_α=0.3,0.5922183182529565
6,C3F_K=7_α=0.5,0.5821336401231305
6,C3F_K=7_α=0.7,0.5724220847195879
6,CA_λ=0.0,0.3164184364084865
6,CA_λ=0.25,0.3901827264906771
6,CA_λ=0.5,0.4686628732522828
6,CA_λ=0.75,0.5490189981654799
6,CA_λ=1.0,0.5252738824456121
6,HGB_d=3_i=100_lr=0.05,0.7131929977301701
6,HGB_d=5_i=100_lr=0.05,0.7299213332918753
6,LBC-LR,0.7058134593658987
7,C3F_K=10_α=0.1,0.6170493505369832
7,C3F_K=10_α=0.2,0.6120202031126637
7,C3F_K=10_α=0.3,0.6033679064686733
7,C3F_K=10_α=0.5,0.5781248310098311
7,C3F_K=10_α=0.7,0.568347735802122
7,C3F_K=3_α=0.1,0.5865932663501369
7,C3F_K=3_α=0.2,0.581012535014763
7,C3F_K=3_α=0.3,0.577421831907507
7,C3F_K=3_α=0.5,0.5705865175587544
7,C3F_K=3_α=0.7,0.5542012307891976
7,C3F_K=5_α=0.1,0.6120202031126637
7,C3F_K=5_α=0.2,0.5946939790830729
7,C3F_K=5_α=0.3,0.5870258811823363
7,C3F_K=5_α=0.5,0.5675906598457728
7,C3F_K=5_α=0.7,0.5590140707974173
7,C3F_K=7_α=0.1,0.624360541201155
7,C3F_K=7_α=0.2,0.6118579725505889
7,C3F_K=7_α=0.3,0.6065368101145348
7,C3F_K=7_α=0.5,0.5797579520013844
7,C3F_K=7_α=0.7,0.5728685607986069
7,CA_λ=0.0,0.3064210856469214
7,CA_λ=0.25,0.375531305090795
7,CA_λ=0.5,0.44937865694725343
7,CA_λ=0.75,0.5483825612961141
7,CA_λ=1.0,0.5062999534939056
7,HGB_d=3_i=100_lr=0.05,0.706849374330799
7,HGB_d=5_i=100_lr=0.05,0.7278744551756957
7,LBC-LR,0.7218502936373173
8,C3F_K=10_α=0.1,0.6460644642912328
8,C3F_K=10_α=0.2,0.6369170864365401
8,C3F_K=10_α=0.3,0.6150890530197678
8,C3F_K=10_α=0.5,0.5937760746623814
8,C3F_K=10_α=0.7,0.5771397962442185
8,C3F_K=3_α=0.1,0.6423663689648423
8,C3F_K=3_α=0.2,0.631787138045057
8,C3F_K=3_α=0.3,0.6144915891508802
8,C3F_K=3_α=0.5,0.5905724321930015
8,C3F_K=3_α=0.7,0.5709179311268374
8,C3F_K=5_α=0.1,0.6471357788147553
8,C3F_K=5_α=0.2,0.631715030336743
8,C3F_K=5_α=0.3,0.6072396139147275
8,C3F_K=5_α=0.5,0.5862047652894095
8,C3F_K=5_α=0.7,0.5761920949349485
8,C3F_K=7_α=0.1,0.6453124839045294
8,C3F_K=7_α=0.2,0.6394511573287185
8,C3F_K=7_α=0.3,0.613080338288163
8,C3F_K=7_α=0.5,0.5872142732058057
8,C3F_K=7_α=0.7,0.5796841682375846
8,CA_λ=0.0,0.3178198749446316
8,CA_λ=0.25,0.3815218846894733
8,CA_λ=0.5,0.4666398838035786
8,CA_λ=0.75,0.5465249235143237
8,CA_λ=1.0,0.5009940562646147
8,HGB_d=3_i=100_lr=0.05,0.7353441082851757
8,HGB_d=5_i=100_lr=0.05,0.7318417338813519
8,LBC-LR,0.7170390514746027
9,C3F_K=10_α=0.1,0.610002080572924
9,C3F_K=10_α=0.2,0.5978143033913339
9,C3F_K=10_α=0.3,0.5913754777104937
9,C3F_K=10_α=0.5,0.5700003285115143
9,C3F_K=10_α=0.7,0.5653026138566156
9,C3F_K=3_α=0.1,0.5642513770107642
9,C3F_K=3_α=0.2,0.5657844307442976
9,C3F_K=3_α=0.3,0.5669670721958805
9,C3F_K=3_α=0.5,0.5706354507725496
9,C3F_K=3_α=0.7,0.5615137810580261
9,C3F_K=5_α=0.1,0.6080748130221965
9,C3F_K=5_α=0.2,0.5893277559378456
9,C3F_K=5_α=0.3,0.5812025711501189
9,C3F_K=5_α=0.5,0.580457945050974
9,C3F_K=5_α=0.7,0.5622912583086037
9,C3F_K=7_α=0.1,0.6006285520307487
9,C3F_K=7_α=0.2,0.5988436394695634
9,C3F_K=7_α=0.3,0.5936422071593609
9,C3F_K=7_α=0.5,0.5792424524479584
9,C3F_K=7_α=0.7,0.5711172676602315
9,CA_λ=0.0,0.2930322707810909
9,CA_λ=0.25,0.36915933903483317
9,CA_λ=0.5,0.44485934231994834
9,CA_λ=0.75,0.5395363607494442
9,CA_λ=1.0,0.519978975263083
9,HGB_d=3_i=100_lr=0.05,0.7141183298474612
9,HGB_d=5_i=100_lr=0.05,0.7204914532254355
9,LBC-LR,0.7283538288016995
