query_id,Top10_77,best_rank_77,Top10_82,best_rank_82,Top10_score_blend,best_rank_score_blend
faabfc16ba4a9239,1,6,1,6,1,4
5e134bbcbc621f93,1,3,1,3,1,4
34bbcf7eb1b17877,1,2,1,3,1,2
d5ee79a42bbb3c57,1,7,0,12,1,10
ddbbfeff553736fa,1,1,1,1,1,1
721e25d357a1c5e8,1,1,1,1,1,1
f5b74e9fb4e8806c,1,4,1,4,1,2
b2b962ae261b00da,1,3,1,3,0,11
88f24541d4295731,1,1,1,1,1,1
7f1e5e470f241d60,1,4,1,4,1,2
d7e4319727292e87,1,1,1,2,1,3
d87006356bb33210,1,1,1,2,1,3
3982fab20c2dd02a,1,1,1,1,1,3
07ac94d5d52f5d6c,1,4,1,4,1,5
f071a99b309dc3d3,1,7,1,3,0,23
1ec7b76b1f5200c4,1,10,0,12,0,13
4aaad295fa10a69b,1,2,1,6,1,3
c98f77ad1241aca7,1,10,1,8,0,16
0f2e2d7129fda1a0,1,1,1,1,1,4
99111991ab7598f1,1,3,1,2,1,1
b114348a7ed9b2d5,1,1,1,3,1,2
e65256b9936c7ce7,1,5,1,4,1,5
d7ab1e1d1c3326ff,0,13,0,11,0,11
0e6eb6791d182b7c,1,6,1,3,1,1
12915feed40f5dd0,1,1,1,1,1,1
63308a958c469e6e,1,4,1,3,1,4
33fd771cf0c77ea4,1,3,1,2,1,1
2ac8a2d3d4a2c6ef,1,1,1,1,1,1
f5e2eb7efe370211,1,3,1,3,1,3
24746182d8411722,1,7,0,12,1,10
de7a8ac28007a103,1,1,1,1,1,1
893cf528a34d5326,1,3,1,2,1,1
ce25ebb8bfae6e82,1,4,1,4,1,2
e0f772d5af917287,1,4,1,3,1,6
acc4fd15f548400d,1,5,1,5,1,7
0196d674ed6a7c4f,1,2,1,2,1,3
0346b84216a133e0,1,1,1,1,1,1
22cd8890d382fdc8,1,2,1,5,1,2
10d4f97b93aa5c0b,1,1,1,1,1,1
79a274d8d6338ee3,0,13,0,18,0,40
8427aa74b71ea1af,1,1,1,1,1,3
f032c12764ef13a9,1,6,1,6,1,3
227c5fcd30659cba,1,2,1,10,1,1
21bf790259317d13,1,1,1,1,1,4
ac2d2158724f180f,1,1,1,2,1,1
4392ff09750295e0,1,8,1,6,0,15
762fc1de99c103a2,1,1,1,1,1,1
ba0105dd84db2b1f,1,3,1,2,1,3
ea483e6c9f8fc528,0,13,0,16,0,17
d72528974d52f67d,1,4,1,4,1,2
42dff38ef3371505,1,1,1,1,1,4
87730082d46ecb6d,1,3,1,2,1,1
dbd0a9ddf949957d,1,2,1,2,1,2
042f5034deed1224,1,5,1,5,1,4
1e5e26109b34adf0,1,1,1,1,1,4
dc55599e5f529a21,1,7,1,4,1,3
0ede26bb8d4a8bd8,1,3,1,2,1,9
148bc2d374ca09d1,1,2,1,5,1,2
071a5e5c1009d60d,1,2,1,1,1,9
cbbce54ba3de7fda,1,2,1,3,1,3
f1098fd4b089fad5,1,1,1,1,1,1
38124d25d1445e2d,1,2,1,1,1,2
1ecf5af7fa243fba,1,2,1,2,1,2
767787d131068507,1,7,0,12,1,10
bfb19ef46d6f00f6,1,1,1,2,1,6
508aa1c6dd66fdf1,1,1,1,1,1,8
d3d9e7f2174ee461,0,17,0,20,0,24
eda62b151f1b89df,1,4,1,4,1,2
062753963ff642ea,1,3,1,3,1,1
1af9ed8c9f48ffb0,1,3,1,3,1,4
afd03f9df1791c94,1,5,1,3,1,4
c31ee4f7960235a4,1,4,1,4,1,6
84f46375cb69bdaf,1,10,1,8,1,7
05ec0ee76b86d842,1,7,1,4,0,17
5c304d412a8b17fd,1,10,1,10,0,11
66dffb288ca7a6bc,1,2,1,2,1,1
56beb7a1943058a9,1,1,1,1,1,1
50d1a1e809812c42,1,2,1,2,1,3
8a381808c15c0962,1,2,1,2,1,4
0b899cb89ac0e8b7,0,20,0,19,0,27
5b89a2c19475ae77,1,1,1,1,1,1
2c61de3b833f38f7,0,27,0,25,0,23
d952fc413e01044f,1,1,1,1,1,1
6e45597c5530c936,1,3,1,2,1,1
0b1d9c33b2fc347f,1,1,1,1,1,1
a94d549e7a572fca,1,1,1,1,1,2
08c9729256fdce9f,1,9,0,11,0,14
c51c2e2739c79548,1,2,1,2,1,3
968125792fc08e43,1,1,1,1,1,1
8eb0a58ec944dbd8,1,3,1,3,1,4
d7faeb4cb10b0cf6,1,3,1,3,1,3
e1d1f5a5837a7e4b,1,2,1,1,1,1
7701795f0fdb91df,1,1,1,1,1,1
7bbe364a30c2afd8,1,5,1,6,1,2
0e20baf256e11105,1,2,1,2,1,3
8121dcfb0ac8f07d,1,6,1,7,1,3
5d23b7e25c8f64fa,1,10,1,8,0,16
f65bf289361007e8,1,5,1,3,1,4
ac2971aa8ee43e31,1,2,1,2,1,2
b42e69028956c47f,1,1,1,1,1,1
76ea2f971fb26c8c,1,1,1,1,1,1
122e3be05db0c298,1,1,1,1,1,4
9ac003443463ef9b,1,3,1,3,1,2
5b913e4bdb7bdf64,0,38,0,32,0,28
c0bf10f6f0855842,1,3,1,3,1,3
dd37ff43a15a50a7,1,2,1,7,1,1
96be892924f698e9,0,15,0,13,0,16
33a411f2e5df9c6a,1,1,1,5,1,1
4fd64b02b6f8c40a,1,1,1,1,1,1
bd7fe0f62a5fc974,1,3,1,3,1,1
1a917bd7c484ee1c,1,1,1,1,1,1
5444685eca85cc52,1,1,1,1,1,2
0f366d467baf7490,1,2,1,5,1,2
828eae4dbcc1b528,1,3,1,3,1,4
4b86b31e3369e81b,1,4,1,4,1,6
49e62b76e536d57e,1,3,1,8,1,1
233febc7eeb5809a,1,2,1,6,1,3
b8422a0cf0205b7c,1,2,1,1,1,5
805b3f6469c1929c,1,1,1,1,1,1
b067113a592610bd,0,63,0,52,0,34
509eec49f13e241a,1,2,1,3,1,3
a02632caea778984,1,1,1,1,1,3
68d992e73806fed7,1,2,1,1,1,8
bc6e80a6355bc6f9,1,2,1,6,1,3
ae6c0969cca227ec,1,1,1,1,1,1
97aae6be88cca7ff,1,3,1,2,1,1
43930b20c332dc22,1,4,1,4,1,5
ba7b88ea8ccda243,1,2,1,2,1,2
fa60344ed18af8e6,1,3,1,2,1,1
7898453c00d1c7ae,1,7,1,4,0,17
172195130d4912aa,1,3,1,3,1,2
e31a18c1bb9e2bd0,1,4,1,4,1,5
a2e8007260166fa9,0,22,0,23,0,13
457e2b46189161eb,1,3,1,7,1,1
c8cfae038990e76d,1,10,1,8,0,16
9767e0401ec55bce,1,2,1,2,1,1
d338df09694186c9,1,1,1,1,1,1
5362dc43d9c24f60,1,2,1,1,1,7
97c517450360fc7e,1,1,1,1,1,2
cbf9ceb7112caa61,1,1,1,1,1,1
6276a6b4dddbe1da,1,3,1,3,1,2
03ec705fd9084b5d,1,1,1,1,1,1
14aa3792bcfacf59,1,2,1,3,1,3
acd302337845fed3,1,1,1,1,1,1
244ee6deed00d6b6,0,13,0,18,0,40
0d00c984211b3e91,1,1,1,1,1,1
3bafba1c0cc1bd52,1,5,1,2,1,8
8205f1c5d0548217,1,4,1,4,1,2
36b9ebe21e0968ad,1,3,1,3,1,5
264fa11137c3fd95,1,8,1,5,1,7
094bbc4a962f650e,1,1,1,1,1,1
460437680b5086a8,1,10,1,9,0,15
4913ee9c0cddf8bb,1,3,1,8,1,1
